t0	24-Sep-20  16:17:02.547769
delta t	6.000000E-7

time	Y
24-Sep-20  16:17:02.547769	-0.391602
24-Sep-20  16:17:02.547769	-0.382812
24-Sep-20  16:17:02.547770	-0.382812
24-Sep-20  16:17:02.547771	-0.382812
24-Sep-20  16:17:02.547771	-0.383057
24-Sep-20  16:17:02.547772	-0.383301
24-Sep-20  16:17:02.547772	-0.383789
24-Sep-20  16:17:02.547773	-0.383789
24-Sep-20  16:17:02.547774	-0.383789
24-Sep-20  16:17:02.547774	-0.383789
24-Sep-20  16:17:02.547775	-0.383057
24-Sep-20  16:17:02.547775	-0.382324
24-Sep-20  16:17:02.547776	-0.382324
24-Sep-20  16:17:02.547777	-0.381836
24-Sep-20  16:17:02.547777	-0.381348
24-Sep-20  16:17:02.547778	-0.381348
24-Sep-20  16:17:02.547778	-0.381104
24-Sep-20  16:17:02.547779	-0.381104
24-Sep-20  16:17:02.547780	-0.380859
24-Sep-20  16:17:02.547780	-0.381104
24-Sep-20  16:17:02.547781	-0.381104
24-Sep-20  16:17:02.547781	-0.381592
24-Sep-20  16:17:02.547782	-0.382324
24-Sep-20  16:17:02.547783	-0.382324
24-Sep-20  16:17:02.547783	-0.382324
24-Sep-20  16:17:02.547784	-0.382812
24-Sep-20  16:17:02.547784	-0.383057
24-Sep-20  16:17:02.547785	-0.383057
24-Sep-20  16:17:02.547786	-0.383301
24-Sep-20  16:17:02.547786	-0.383057
24-Sep-20  16:17:02.547787	-0.383545
24-Sep-20  16:17:02.547787	-0.383545
24-Sep-20  16:17:02.547788	-0.384033
24-Sep-20  16:17:02.547789	-0.382812
24-Sep-20  16:17:02.547789	-0.382324
24-Sep-20  16:17:02.547790	-0.381836
24-Sep-20  16:17:02.547790	-0.381592
24-Sep-20  16:17:02.547791	-0.381836
24-Sep-20  16:17:02.547792	-0.382080
24-Sep-20  16:17:02.547792	-0.381348
24-Sep-20  16:17:02.547793	-0.380615
24-Sep-20  16:17:02.547793	-0.380615
24-Sep-20  16:17:02.547794	-0.380371
24-Sep-20  16:17:02.547795	-0.380615
24-Sep-20  16:17:02.547795	-0.381836
24-Sep-20  16:17:02.547796	-0.382324
24-Sep-20  16:17:02.547796	-0.382080
24-Sep-20  16:17:02.547797	-0.382080
24-Sep-20  16:17:02.547798	-0.382324
