t0	08-Oct-20  18:02:31.233833
delta t	1.000000E-5

time	Y
08-Oct-20  18:02:31.233833	-2.321777
08-Oct-20  18:02:31.233843	-2.321777
08-Oct-20  18:02:31.233853	-2.321777
08-Oct-20  18:02:31.233863	-2.321777
08-Oct-20  18:02:31.233873	-2.321777
08-Oct-20  18:02:31.233883	-2.321777
08-Oct-20  18:02:31.233893	-2.321777
08-Oct-20  18:02:31.233903	-2.321777
08-Oct-20  18:02:31.233913	-2.321777
08-Oct-20  18:02:31.233923	-2.321777
08-Oct-20  18:02:31.233933	-2.321777
08-Oct-20  18:02:31.233943	-2.321777
08-Oct-20  18:02:31.233953	-2.321777
08-Oct-20  18:02:31.233963	-2.321777
08-Oct-20  18:02:31.233973	-2.321777
08-Oct-20  18:02:31.233983	-2.321777
08-Oct-20  18:02:31.233993	-2.321777
08-Oct-20  18:02:31.234003	-0.019531
08-Oct-20  18:02:31.234013	0.021973
08-Oct-20  18:02:31.234023	0.056152
08-Oct-20  18:02:31.234033	0.090332
08-Oct-20  18:02:31.234043	0.129395
08-Oct-20  18:02:31.234053	0.163574
08-Oct-20  18:02:31.234063	0.197754
08-Oct-20  18:02:31.234073	0.231934
08-Oct-20  18:02:31.234083	0.266113
08-Oct-20  18:02:31.234093	0.300293
08-Oct-20  18:02:31.234103	0.334473
08-Oct-20  18:02:31.234113	0.373535
08-Oct-20  18:02:31.234123	0.407715
08-Oct-20  18:02:31.234133	0.441895
08-Oct-20  18:02:31.234143	0.476074
08-Oct-20  18:02:31.234153	0.510254
08-Oct-20  18:02:31.234163	0.544434
08-Oct-20  18:02:31.234173	0.578613
08-Oct-20  18:02:31.234183	0.612793
08-Oct-20  18:02:31.234193	0.651855
08-Oct-20  18:02:31.234203	0.686035
08-Oct-20  18:02:31.234213	0.720215
08-Oct-20  18:02:31.234223	0.754395
08-Oct-20  18:02:31.234233	0.788574
08-Oct-20  18:02:31.234243	0.822754
08-Oct-20  18:02:31.234253	0.856934
08-Oct-20  18:02:31.234263	0.895996
08-Oct-20  18:02:31.234273	0.930176
08-Oct-20  18:02:31.234283	0.964355
08-Oct-20  18:02:31.234293	0.998535
08-Oct-20  18:02:31.234303	1.032715
08-Oct-20  18:02:31.234313	1.066895
08-Oct-20  18:02:31.234323	1.101074
08-Oct-20  18:02:31.234333	1.140137
08-Oct-20  18:02:31.234343	1.174316
08-Oct-20  18:02:31.234353	1.208496
08-Oct-20  18:02:31.234363	1.242676
08-Oct-20  18:02:31.234373	1.276855
08-Oct-20  18:02:31.234383	1.311035
08-Oct-20  18:02:31.234393	1.345215
08-Oct-20  18:02:31.234403	1.384277
08-Oct-20  18:02:31.234413	1.418457
08-Oct-20  18:02:31.234423	1.452637
08-Oct-20  18:02:31.234433	1.486816
08-Oct-20  18:02:31.234443	1.520996
08-Oct-20  18:02:31.234453	1.555176
08-Oct-20  18:02:31.234463	1.589355
08-Oct-20  18:02:31.234473	1.623535
08-Oct-20  18:02:31.234483	1.662598
08-Oct-20  18:02:31.234493	1.696777
08-Oct-20  18:02:31.234503	1.730957
08-Oct-20  18:02:31.234513	1.765137
08-Oct-20  18:02:31.234523	1.799316
08-Oct-20  18:02:31.234533	1.833496
08-Oct-20  18:02:31.234543	1.867676
08-Oct-20  18:02:31.234553	1.906738
08-Oct-20  18:02:31.234563	1.940918
08-Oct-20  18:02:31.234573	1.975098
08-Oct-20  18:02:31.234583	2.009277
08-Oct-20  18:02:31.234593	2.043457
08-Oct-20  18:02:31.234603	2.077637
08-Oct-20  18:02:31.234613	2.109375
08-Oct-20  18:02:31.234623	2.150879
08-Oct-20  18:02:31.234633	2.185059
08-Oct-20  18:02:31.234643	2.219238
08-Oct-20  18:02:31.234653	2.253418
08-Oct-20  18:02:31.234663	2.287598
08-Oct-20  18:02:31.234673	2.321777
08-Oct-20  18:02:31.234683	2.355957
08-Oct-20  18:02:31.234693	2.395020
08-Oct-20  18:02:31.234703	2.429199
08-Oct-20  18:02:31.234713	2.463379
08-Oct-20  18:02:31.234723	2.497559
08-Oct-20  18:02:31.234733	2.531738
08-Oct-20  18:02:31.234743	2.565918
08-Oct-20  18:02:31.234753	2.600098
08-Oct-20  18:02:31.234763	2.634277
08-Oct-20  18:02:31.234773	2.673340
08-Oct-20  18:02:31.234783	2.707520
08-Oct-20  18:02:31.234793	2.741699
08-Oct-20  18:02:31.234803	2.775879
08-Oct-20  18:02:31.234813	2.810059
08-Oct-20  18:02:31.234823	2.844238
08-Oct-20  18:02:31.234833	2.878418
08-Oct-20  18:02:31.234843	2.917480
