waveform	Dev1/ai0	Dev1/ai1
t0	08-Oct-20  18:41:43.693666	08-Oct-20  18:41:43.693669
delta t	5.000000E-6	5.000000E-6

time	Dev1/ai0	Dev1/ai1
08-Oct-20  18:41:43.693666	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693671	-9.765625E-3	-1.220703E-2
08-Oct-20  18:41:43.693676	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693681	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693686	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693691	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693696	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693701	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693706	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693711	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693716	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693721	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693726	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693731	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693736	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693741	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693746	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693751	-9.765625E-3	-1.220703E-2
08-Oct-20  18:41:43.693756	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693761	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693766	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693771	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693776	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693781	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693786	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693791	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693796	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693801	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693806	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693811	-1.220703E-2	-1.220703E-2
08-Oct-20  18:41:43.693816	-1.220703E-2	-1.220703E-2
