waveform	Dev1/ai0	Dev1/ai1
t0	08-Oct-20  18:45:29.473787	08-Oct-20  18:45:29.473789
delta t	5.000000E-6	5.000000E-6

time	Dev1/ai0	Dev1/ai1
08-Oct-20  18:45:29.473787	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473792	-1.220703E-2	-9.765625E-3
08-Oct-20  18:45:29.473797	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473802	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473807	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473812	-9.765625E-3	-1.220703E-2
08-Oct-20  18:45:29.473817	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473822	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473827	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473832	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473837	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473842	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473847	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473852	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473857	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473862	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473867	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473872	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473877	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473882	-1.220703E-2	-9.765625E-3
08-Oct-20  18:45:29.473887	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473892	-9.765625E-3	-1.220703E-2
08-Oct-20  18:45:29.473897	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473902	-9.765625E-3	-1.220703E-2
08-Oct-20  18:45:29.473907	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473912	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473917	-9.765625E-3	-9.765625E-3
08-Oct-20  18:45:29.473922	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473927	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473932	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473937	-1.220703E-2	-1.220703E-2
08-Oct-20  18:45:29.473942	-1.220703E-2	-1.220703E-2
