waveform	Dev1/ai0	Dev1/ai1
t0	08-Oct-20  18:53:08.685960	08-Oct-20  18:53:08.685970
delta t	2.000000E-5	2.000000E-5

time	Dev1/ai0	Dev1/ai1
08-Oct-20  18:53:08.685960	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.685980	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686000	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686020	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686040	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686060	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686080	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686100	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686120	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686140	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686160	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686180	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686200	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686220	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686240	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686260	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686280	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686300	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686320	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686340	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686360	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686380	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686400	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686420	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686440	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686460	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686480	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686500	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686520	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686540	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686560	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686580	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686600	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686620	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686640	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686660	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686680	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686700	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686720	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686740	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686760	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686780	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686800	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686820	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686840	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686860	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686880	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686900	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686920	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686940	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.686960	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.686980	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.687000	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687020	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687040	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.687060	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687080	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687100	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.687120	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687140	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687160	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687180	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.687200	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687220	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687240	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687260	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687280	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687300	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687320	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687340	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.687360	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687380	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687400	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687420	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687440	-1.220703E-2	-1.220703E-2
08-Oct-20  18:53:08.687460	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687480	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687500	-1.220703E-2	-9.765625E-3
08-Oct-20  18:53:08.687520	-1.220703E-2	-9.765625E-3
