waveform	Dev1/ai0	Dev1/ai1
t0	08-Oct-20  18:42:53.593867	08-Oct-20  18:42:53.593869
delta t	5.000000E-6	5.000000E-6

time	Dev1/ai0	Dev1/ai1
08-Oct-20  18:42:53.593867	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593872	-9.765625E-3	-1.220703E-2
08-Oct-20  18:42:53.593877	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593882	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593887	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593892	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593897	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593902	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593907	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593912	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593917	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593922	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593927	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593932	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593937	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593942	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593947	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593952	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593957	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593962	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593967	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593972	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593977	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593982	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593987	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593992	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.593997	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594002	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594007	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594012	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594017	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594022	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594027	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594032	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594037	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594042	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594047	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594052	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594057	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594062	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594067	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594072	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594077	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594082	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594087	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594092	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594097	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594102	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594107	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594112	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594117	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594122	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594127	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594132	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594137	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594142	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594147	-9.765625E-3	-1.220703E-2
08-Oct-20  18:42:53.594152	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594157	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594162	-9.765625E-3	-1.220703E-2
08-Oct-20  18:42:53.594167	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594172	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594177	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594182	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594187	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594192	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594197	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594202	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594207	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594212	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594217	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594222	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594227	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594232	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594237	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594242	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594247	-1.220703E-2	-1.220703E-2
08-Oct-20  18:42:53.594252	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594257	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594262	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594267	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594272	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594277	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594282	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594287	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594292	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594297	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594302	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594307	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594312	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594317	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594322	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594327	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594332	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594337	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594342	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594347	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594352	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594357	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594362	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594367	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594372	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594377	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594382	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594387	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594392	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594397	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594402	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594407	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594412	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594417	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594422	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594427	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594432	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594437	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594442	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594447	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594452	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594457	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594462	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594467	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594472	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594477	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594482	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594487	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594492	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594497	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594502	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594507	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594512	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594517	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594522	-9.765625E-3	-9.765625E-3
08-Oct-20  18:42:53.594527	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594532	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594537	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594542	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594547	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594552	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594557	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594562	-1.220703E-2	-9.765625E-3
08-Oct-20  18:42:53.594567	-1.220703E-2	-9.765625E-3
