-10.0000	-10.0000	-1.8109
-9.9800	-9.9991	-1.8068
-9.9600	-9.9788	-1.8029
-9.9399	-9.9591	-1.8002
-9.9199	-9.9400	-1.7966
-9.8999	-9.9139	-1.7920
-9.8799	-9.8954	-1.7882
-9.8599	-9.8757	-1.7851
-9.8398	-9.8552	-1.7819
-9.8198	-9.8364	-1.7776
-9.7998	-9.8148	-1.7741
-9.7798	-9.7952	-1.7714
-9.7598	-9.7760	-1.7675
-9.7397	-9.7561	-1.7636
-9.7197	-9.7364	-1.7607
-9.6997	-9.7121	-1.7561
-9.6797	-9.6924	-1.7526
-9.6597	-9.6729	-1.7484
-9.6396	-9.6570	-1.7454
-9.6196	-9.6370	-1.7423
-9.5996	-9.6179	-1.7384
-9.5796	-9.5971	-1.7345
-9.5596	-9.5778	-1.7316
-9.5395	-9.5586	-1.7282
-9.5195	-9.5380	-1.7241
-9.4995	-9.5134	-1.7197
-9.4795	-9.4925	-1.7165
-9.4595	-9.4727	-1.7134
-9.4394	-9.4533	-1.7093
-9.4194	-9.4337	-1.7059
-9.3994	-9.4141	-1.7030
-9.3794	-9.3946	-1.6992
-9.3594	-9.3750	-1.6949
-9.3393	-9.3555	-1.6912
-9.3193	-9.3362	-1.6882
-9.2993	-9.3116	-1.6837
-9.2793	-9.2921	-1.6797
-9.2593	-9.2725	-1.6759
-9.2392	-9.2530	-1.6731
-9.2192	-9.2335	-1.6696
-9.1992	-9.2139	-1.6654
-9.1792	-9.1944	-1.6619
-9.1592	-9.1748	-1.6590
-9.1391	-9.1553	-1.6553
-9.1191	-9.1357	-1.6513
-9.0991	-9.1113	-1.6475
-9.0791	-9.0918	-1.6446
-9.0591	-9.0723	-1.6406
-9.0390	-9.0527	-1.6365
-9.0190	-9.0335	-1.6336
-8.9990	-9.0141	-1.6303
-8.9790	-8.9943	-1.6263
-8.9590	-8.9748	-1.6227
-8.9389	-8.9552	-1.6198
-8.9189	-8.9356	-1.6161
-8.8989	-8.9113	-1.6114
-8.8789	-8.8916	-1.6072
-8.8589	-8.8721	-1.6045
-8.8388	-8.8525	-1.6011
-8.8188	-8.8330	-1.5970
-8.7988	-8.8135	-1.5934
-8.7788	-8.7939	-1.5905
-8.7588	-8.7744	-1.5868
-8.7387	-8.7549	-1.5830
-8.7187	-8.7354	-1.5792
-8.6987	-8.7139	-1.5756
-8.6787	-8.6947	-1.5720
-8.6587	-8.6742	-1.5680
-8.6386	-8.6542	-1.5651
-8.6186	-8.6345	-1.5617
-8.5986	-8.6138	-1.5578
-8.5786	-8.5950	-1.5540
-8.5586	-8.5754	-1.5511
-8.5385	-8.5547	-1.5477
-8.5185	-8.5353	-1.5436
-8.4985	-8.5108	-1.5388
-8.4785	-8.4913	-1.5374
-8.4585	-8.4718	-1.5335
-8.4384	-8.4522	-1.5301
-8.4184	-8.4326	-1.5271
-8.3984	-8.4131	-1.5233
-8.3784	-8.3957	-1.5194
-8.3584	-8.3763	-1.5165
-8.3383	-8.3570	-1.5131
-8.3183	-8.3364	-1.5091
-8.2983	-8.3124	-1.5046
-8.2783	-8.2922	-1.5016
-8.2583	-8.2724	-1.4983
-8.2382	-8.2523	-1.4943
-8.2182	-8.2325	-1.4906
-8.1982	-8.2130	-1.4879
-8.1782	-8.1935	-1.4842
-8.1582	-8.1739	-1.4801
-8.1381	-8.1543	-1.4771
-8.1181	-8.1348	-1.4738
-8.0981	-8.1104	-1.4691
-8.0781	-8.0911	-1.4651
-8.0581	-8.0714	-1.4613
-8.0380	-8.0519	-1.4585
-8.0180	-8.0324	-1.4548
-7.9980	-8.0127	-1.4509
-7.9780	-7.9932	-1.4480
-7.9580	-7.9737	-1.4446
-7.9379	-7.9541	-1.4405
-7.9179	-7.9346	-1.4367
-7.8979	-7.9102	-1.4330
-7.8779	-7.8906	-1.4298
-7.8579	-7.8711	-1.4259
-7.8378	-7.8516	-1.4221
-7.8178	-7.8320	-1.4193
-7.7978	-7.8125	-1.4156
-7.7778	-7.7930	-1.4115
-7.7578	-7.7737	-1.4084
-7.7377	-7.7539	-1.4052
-7.7177	-7.7344	-1.4014
-7.6977	-7.7100	-1.3966
-7.6777	-7.6904	-1.3929
-7.6577	-7.6709	-1.3902
-7.6376	-7.6514	-1.3864
-7.6176	-7.6318	-1.3821
-7.5976	-7.6123	-1.3783
-7.5776	-7.5928	-1.3755
-7.5576	-7.5732	-1.3720
-7.5375	-7.5537	-1.3679
-7.5175	-7.5342	-1.3646
-7.4975	-7.5098	-1.3609
-7.4775	-7.4902	-1.3571
-7.4575	-7.4708	-1.3530
-7.4374	-7.4513	-1.3496
-7.4174	-7.4317	-1.3468
-7.3974	-7.4121	-1.3428
-7.3774	-7.3926	-1.3390
-7.3574	-7.3731	-1.3360
-7.3373	-7.3535	-1.3328
-7.3173	-7.3340	-1.3285
-7.2973	-7.3096	-1.3237
-7.2773	-7.2900	-1.3204
-7.2573	-7.2705	-1.3175
-7.2372	-7.2510	-1.3135
-7.2172	-7.2314	-1.3098
-7.1972	-7.2119	-1.3068
-7.1772	-7.1924	-1.3034
-7.1572	-7.1729	-1.2991
-7.1371	-7.1535	-1.2956
-7.1171	-7.1339	-1.2929
-7.0971	-7.1095	-1.2886
-7.0771	-7.0899	-1.2846
-7.0571	-7.0704	-1.2812
-7.0370	-7.0508	-1.2782
-7.0170	-7.0313	-1.2743
-6.9970	-7.0117	-1.2704
-6.9770	-6.9922	-1.2673
-6.9570	-6.9727	-1.2641
-6.9369	-6.9531	-1.2601
-6.9169	-6.9336	-1.2564
