t0	08-Oct-20  16:52:13.356624
delta t	2.000000E-5

time	Y
08-Oct-20  16:52:13.356624	1.013184
08-Oct-20  16:52:13.356644	1.013184
08-Oct-20  16:52:13.356664	1.013184
08-Oct-20  16:52:13.356684	1.013184
08-Oct-20  16:52:13.356704	1.013184
08-Oct-20  16:52:13.356724	1.013184
08-Oct-20  16:52:13.356744	1.013184
08-Oct-20  16:52:13.356764	1.013184
08-Oct-20  16:52:13.356784	1.013184
08-Oct-20  16:52:13.356804	0.385742
08-Oct-20  16:52:13.356824	0.161133
08-Oct-20  16:52:13.356844	0.378418
08-Oct-20  16:52:13.356864	0.595703
08-Oct-20  16:52:13.356884	0.810547
08-Oct-20  16:52:13.356904	1.022949
08-Oct-20  16:52:13.356924	1.220703
08-Oct-20  16:52:13.356944	1.433105
08-Oct-20  16:52:13.356964	1.633301
08-Oct-20  16:52:13.356984	1.823730
08-Oct-20  16:52:13.357004	2.014160
08-Oct-20  16:52:13.357024	2.192383
08-Oct-20  16:52:13.357044	2.363281
08-Oct-20  16:52:13.357064	2.514648
08-Oct-20  16:52:13.357084	2.680664
08-Oct-20  16:52:13.357104	2.827148
08-Oct-20  16:52:13.357124	2.961426
08-Oct-20  16:52:13.357144	3.083496
08-Oct-20  16:52:13.357164	3.200684
08-Oct-20  16:52:13.357184	3.305664
08-Oct-20  16:52:13.357204	3.395996
08-Oct-20  16:52:13.357224	3.474121
08-Oct-20  16:52:13.357244	3.542480
08-Oct-20  16:52:13.357264	3.596191
08-Oct-20  16:52:13.357284	3.637695
08-Oct-20  16:52:13.357304	3.666992
08-Oct-20  16:52:13.357324	3.681641
08-Oct-20  16:52:13.357344	3.684082
08-Oct-20  16:52:13.357364	3.676758
08-Oct-20  16:52:13.357384	3.652344
08-Oct-20  16:52:13.357404	3.618164
08-Oct-20  16:52:13.357424	3.571777
08-Oct-20  16:52:13.357444	3.510742
08-Oct-20  16:52:13.357464	3.432617
08-Oct-20  16:52:13.357484	3.347168
08-Oct-20  16:52:13.357504	3.251953
08-Oct-20  16:52:13.357524	3.144531
08-Oct-20  16:52:13.357544	3.024902
08-Oct-20  16:52:13.357564	2.895508
08-Oct-20  16:52:13.357584	2.753906
08-Oct-20  16:52:13.357604	2.607422
08-Oct-20  16:52:13.357624	2.436523
08-Oct-20  16:52:13.357644	2.280273
08-Oct-20  16:52:13.357664	2.102051
08-Oct-20  16:52:13.357684	1.916504
08-Oct-20  16:52:13.357704	1.730957
08-Oct-20  16:52:13.357724	1.530762
08-Oct-20  16:52:13.357744	1.333008
08-Oct-20  16:52:13.357764	1.123047
08-Oct-20  16:52:13.357784	0.913086
08-Oct-20  16:52:13.357804	0.698242
08-Oct-20  16:52:13.357824	0.483398
08-Oct-20  16:52:13.357844	0.263672
08-Oct-20  16:52:13.357864	0.048828
08-Oct-20  16:52:13.357884	-0.170898
08-Oct-20  16:52:13.357904	-0.390625
08-Oct-20  16:52:13.357924	-0.605469
08-Oct-20  16:52:13.357944	-0.817871
08-Oct-20  16:52:13.357964	-1.035156
08-Oct-20  16:52:13.357984	-1.245117
08-Oct-20  16:52:13.358004	-1.445312
08-Oct-20  16:52:13.358024	-1.643066
08-Oct-20  16:52:13.358044	-1.838379
08-Oct-20  16:52:13.358064	-2.026367
08-Oct-20  16:52:13.358084	-2.204590
08-Oct-20  16:52:13.358104	-2.375488
08-Oct-20  16:52:13.358124	-2.548828
08-Oct-20  16:52:13.358144	-2.697754
08-Oct-20  16:52:13.358164	-2.844238
08-Oct-20  16:52:13.358184	-2.978516
08-Oct-20  16:52:13.358204	-3.105469
08-Oct-20  16:52:13.358224	-3.217773
08-Oct-20  16:52:13.358244	-3.320312
08-Oct-20  16:52:13.358264	-3.413086
08-Oct-20  16:52:13.358284	-3.496094
08-Oct-20  16:52:13.358304	-3.564453
08-Oct-20  16:52:13.358324	-3.613281
08-Oct-20  16:52:13.358344	-3.662109
08-Oct-20  16:52:13.358364	-3.688965
08-Oct-20  16:52:13.358384	-3.706055
08-Oct-20  16:52:13.358404	-3.710937
08-Oct-20  16:52:13.358424	-3.701172
08-Oct-20  16:52:13.358444	-3.679199
08-Oct-20  16:52:13.358464	-3.647461
08-Oct-20  16:52:13.358484	-3.598633
08-Oct-20  16:52:13.358504	-3.540039
08-Oct-20  16:52:13.358524	-3.466797
08-Oct-20  16:52:13.358544	-3.383789
08-Oct-20  16:52:13.358564	-3.286133
08-Oct-20  16:52:13.358584	-3.178711
08-Oct-20  16:52:13.358604	-3.059082
08-Oct-20  16:52:13.358624	-2.929687
08-Oct-20  16:52:13.358644	-2.792969
08-Oct-20  16:52:13.358664	-2.641602
08-Oct-20  16:52:13.358684	-2.495117
08-Oct-20  16:52:13.358704	-2.316895
08-Oct-20  16:52:13.358724	-2.141113
08-Oct-20  16:52:13.358744	-1.958008
08-Oct-20  16:52:13.358764	-1.770020
08-Oct-20  16:52:13.358784	-1.572266
08-Oct-20  16:52:13.358804	-1.374512
08-Oct-20  16:52:13.358824	-1.166992
08-Oct-20  16:52:13.358844	-0.957031
08-Oct-20  16:52:13.358864	-0.747070
08-Oct-20  16:52:13.358884	-0.527344
