t0	08-Oct-20  17:13:04.494148
delta t	1.665000E-5

time	Y
08-Oct-20  17:13:04.494148	2.497559
08-Oct-20  17:13:04.494165	2.497559
08-Oct-20  17:13:04.494181	2.497559
08-Oct-20  17:13:04.494198	2.497559
08-Oct-20  17:13:04.494215	2.497559
08-Oct-20  17:13:04.494231	2.497559
08-Oct-20  17:13:04.494248	2.497559
08-Oct-20  17:13:04.494264	2.497559
08-Oct-20  17:13:04.494281	2.497559
08-Oct-20  17:13:04.494298	2.497559
08-Oct-20  17:13:04.494314	2.497559
08-Oct-20  17:13:04.494331	2.497559
08-Oct-20  17:13:04.494348	-0.012207
08-Oct-20  17:13:04.494364	0.168457
08-Oct-20  17:13:04.494381	0.354004
08-Oct-20  17:13:04.494398	0.534668
08-Oct-20  17:13:04.494414	0.715332
08-Oct-20  17:13:04.494431	0.891113
08-Oct-20  17:13:04.494448	1.066895
08-Oct-20  17:13:04.494464	1.237793
08-Oct-20  17:13:04.494481	1.408691
08-Oct-20  17:13:04.494498	1.574707
08-Oct-20  17:13:04.494514	1.740723
08-Oct-20  17:13:04.494531	1.896973
08-Oct-20  17:13:04.494548	2.053223
08-Oct-20  17:13:04.494564	2.199707
08-Oct-20  17:13:04.494581	2.346191
08-Oct-20  17:13:04.494597	2.482910
08-Oct-20  17:13:04.494614	2.614746
08-Oct-20  17:13:04.494631	2.736816
08-Oct-20  17:13:04.494647	2.858887
08-Oct-20  17:13:04.494664	2.971191
08-Oct-20  17:13:04.494681	3.073730
08-Oct-20  17:13:04.494697	3.171387
08-Oct-20  17:13:04.494714	3.259277
08-Oct-20  17:13:04.494731	3.339844
08-Oct-20  17:13:04.494747	3.415527
08-Oct-20  17:13:04.494764	3.479004
08-Oct-20  17:13:04.494781	3.532715
08-Oct-20  17:13:04.494797	3.581543
08-Oct-20  17:13:04.494814	3.620605
08-Oct-20  17:13:04.494831	3.649902
08-Oct-20  17:13:04.494847	3.674316
08-Oct-20  17:13:04.494864	3.684082
08-Oct-20  17:13:04.494881	3.688965
08-Oct-20  17:13:04.494897	3.684082
08-Oct-20  17:13:04.494914	3.664551
08-Oct-20  17:13:04.494930	3.642578
08-Oct-20  17:13:04.494947	3.608398
08-Oct-20  17:13:04.494964	3.566895
08-Oct-20  17:13:04.494980	3.518066
08-Oct-20  17:13:04.494997	3.457031
08-Oct-20  17:13:04.495014	3.388672
08-Oct-20  17:13:04.495030	3.315430
08-Oct-20  17:13:04.495047	3.234863
08-Oct-20  17:13:04.495064	3.139648
08-Oct-20  17:13:04.495080	3.044434
08-Oct-20  17:13:04.495097	2.937012
08-Oct-20  17:13:04.495114	2.824707
08-Oct-20  17:13:04.495130	2.702637
08-Oct-20  17:13:04.495147	2.575684
08-Oct-20  17:13:04.495164	2.438965
08-Oct-20  17:13:04.495180	2.302246
08-Oct-20  17:13:04.495197	2.155762
08-Oct-20  17:13:04.495214	2.004395
08-Oct-20  17:13:04.495230	1.848145
08-Oct-20  17:13:04.495247	1.691895
08-Oct-20  17:13:04.495263	1.525879
08-Oct-20  17:13:04.495280	1.359863
08-Oct-20  17:13:04.495297	1.188965
08-Oct-20  17:13:04.495313	1.013184
08-Oct-20  17:13:04.495330	0.837402
08-Oct-20  17:13:04.495347	0.656738
08-Oct-20  17:13:04.495363	0.476074
08-Oct-20  17:13:04.495380	0.295410
08-Oct-20  17:13:04.495397	0.114746
08-Oct-20  17:13:04.495413	-0.065918
08-Oct-20  17:13:04.495430	-0.251465
08-Oct-20  17:13:04.495447	-0.432129
08-Oct-20  17:13:04.495463	-0.612793
08-Oct-20  17:13:04.495480	-0.793457
08-Oct-20  17:13:04.495497	-0.969238
08-Oct-20  17:13:04.495513	-1.145020
08-Oct-20  17:13:04.495530	-1.315918
08-Oct-20  17:13:04.495547	-1.486816
08-Oct-20  17:13:04.495563	-1.652832
08-Oct-20  17:13:04.495580	-1.813965
08-Oct-20  17:13:04.495596	-1.970215
08-Oct-20  17:13:04.495613	-2.121582
08-Oct-20  17:13:04.495630	-2.268066
08-Oct-20  17:13:04.495646	-2.407227
08-Oct-20  17:13:04.495663	-2.546387
08-Oct-20  17:13:04.495680	-2.678223
08-Oct-20  17:13:04.495696	-2.800293
08-Oct-20  17:13:04.495713	-2.917480
08-Oct-20  17:13:04.495730	-3.024902
08-Oct-20  17:13:04.495746	-3.125000
08-Oct-20  17:13:04.495763	-3.225098
08-Oct-20  17:13:04.495780	-3.305664
08-Oct-20  17:13:04.495796	-3.388672
08-Oct-20  17:13:04.495813	-3.459473
08-Oct-20  17:13:04.495830	-3.520508
08-Oct-20  17:13:04.495846	-3.576660
08-Oct-20  17:13:04.495863	-3.618164
08-Oct-20  17:13:04.495880	-3.652344
