t0	08-Oct-20  17:15:17.689464
delta t	0.000500

time	Y
08-Oct-20  17:15:17.689464	-0.012207
08-Oct-20  17:15:17.689964	-0.012207
08-Oct-20  17:15:17.690464	3.671875
08-Oct-20  17:15:17.690964	0.656738
08-Oct-20  17:15:17.691464	-3.576660
08-Oct-20  17:15:17.691964	-1.330566
08-Oct-20  17:15:17.692464	3.305664
08-Oct-20  17:15:17.692964	1.909180
08-Oct-20  17:15:17.693464	-2.983398
08-Oct-20  17:15:17.693964	-2.478027
08-Oct-20  17:15:17.694464	2.512207
08-Oct-20  17:15:17.694964	2.912598
08-Oct-20  17:15:17.695464	-2.004395
08-Oct-20  17:15:17.695964	-3.295898
08-Oct-20  17:15:17.696464	1.384277
08-Oct-20  17:15:17.696964	3.527832
08-Oct-20  17:15:17.697464	-0.764160
08-Oct-20  17:15:17.697964	-3.688965
08-Oct-20  17:15:17.698464	0.070801
08-Oct-20  17:15:17.698964	3.679199
08-Oct-20  17:15:17.699464	0.578613
08-Oct-20  17:15:17.699964	-3.593750
08-Oct-20  17:15:17.700464	-1.252441
08-Oct-20  17:15:17.700964	3.344727
08-Oct-20  17:15:17.701464	1.843262
08-Oct-20  17:15:17.701964	-3.034668
08-Oct-20  17:15:17.702464	-2.414551
08-Oct-20  17:15:17.702964	2.570801
08-Oct-20  17:15:17.703464	2.858887
08-Oct-20  17:15:17.703964	-2.070312
08-Oct-20  17:15:17.704464	-3.259277
08-Oct-20  17:15:17.704964	1.457520
08-Oct-20  17:15:17.705464	3.503418
08-Oct-20  17:15:17.705964	-0.842285
08-Oct-20  17:15:17.706464	-3.676758
08-Oct-20  17:15:17.706964	0.148926
08-Oct-20  17:15:17.707464	3.684082
08-Oct-20  17:15:17.707964	0.495605
08-Oct-20  17:15:17.708464	-3.613281
08-Oct-20  17:15:17.708964	-1.179199
08-Oct-20  17:15:17.709464	3.376465
08-Oct-20  17:15:17.709964	1.770020
08-Oct-20  17:15:17.710464	-3.078613
08-Oct-20  17:15:17.710964	-2.351074
08-Oct-20  17:15:17.711464	2.629395
08-Oct-20  17:15:17.711964	2.810059
08-Oct-20  17:15:17.712464	-2.141113
08-Oct-20  17:15:17.712964	-3.220215
08-Oct-20  17:15:17.713464	1.530762
08-Oct-20  17:15:17.713964	3.476562
08-Oct-20  17:15:17.714464	-0.920410
08-Oct-20  17:15:17.714964	-3.664551
08-Oct-20  17:15:17.715464	0.231934
08-Oct-20  17:15:17.715964	3.688965
08-Oct-20  17:15:17.716464	0.417480
08-Oct-20  17:15:17.716964	-3.632812
08-Oct-20  17:15:17.717464	-1.101074
08-Oct-20  17:15:17.717964	3.410645
08-Oct-20  17:15:17.718464	1.696777
08-Oct-20  17:15:17.718964	-3.120117
08-Oct-20  17:15:17.719464	-2.287598
08-Oct-20  17:15:17.719964	2.680664
08-Oct-20  17:15:17.720464	2.756348
08-Oct-20  17:15:17.720964	-2.202148
08-Oct-20  17:15:17.721464	-3.178711
08-Oct-20  17:15:17.721964	1.604004
08-Oct-20  17:15:17.722464	3.449707
08-Oct-20  17:15:17.722964	-0.998535
08-Oct-20  17:15:17.723464	-3.652344
08-Oct-20  17:15:17.723964	0.314941
08-Oct-20  17:15:17.724464	3.688965
08-Oct-20  17:15:17.724964	0.334473
08-Oct-20  17:15:17.725464	-3.647461
08-Oct-20  17:15:17.725964	-1.022949
08-Oct-20  17:15:17.726464	3.437500
08-Oct-20  17:15:17.726964	1.628418
08-Oct-20  17:15:17.727464	-3.164062
08-Oct-20  17:15:17.727964	-2.224121
08-Oct-20  17:15:17.728464	2.741699
08-Oct-20  17:15:17.728964	2.702637
08-Oct-20  17:15:17.729464	-2.272949
08-Oct-20  17:15:17.729964	-3.134766
08-Oct-20  17:15:17.730464	1.677246
08-Oct-20  17:15:17.730964	3.420410
08-Oct-20  17:15:17.731464	-1.076660
08-Oct-20  17:15:17.731964	-3.632812
08-Oct-20  17:15:17.732464	0.393066
08-Oct-20  17:15:17.732964	3.688965
08-Oct-20  17:15:17.733464	0.256348
08-Oct-20  17:15:17.733964	-3.662109
08-Oct-20  17:15:17.734464	-0.944824
08-Oct-20  17:15:17.734964	3.469238
08-Oct-20  17:15:17.735464	1.550293
08-Oct-20  17:15:17.735964	-3.208008
08-Oct-20  17:15:17.736464	-2.160645
08-Oct-20  17:15:17.736964	2.795410
08-Oct-20  17:15:17.737464	2.644043
08-Oct-20  17:15:17.737964	-2.333984
08-Oct-20  17:15:17.738464	-3.093262
08-Oct-20  17:15:17.738964	1.750488
08-Oct-20  17:15:17.739464	3.386230
08-Oct-20  17:15:17.739964	-1.154785
08-Oct-20  17:15:17.740464	-3.618164
08-Oct-20  17:15:17.740964	0.476074
08-Oct-20  17:15:17.741464	3.684082
08-Oct-20  17:15:17.741964	0.173340
08-Oct-20  17:15:17.742464	-3.674316
08-Oct-20  17:15:17.742964	-0.866699
08-Oct-20  17:15:17.743464	3.493652
08-Oct-20  17:15:17.743964	1.477051
08-Oct-20  17:15:17.744464	-3.247070
08-Oct-20  17:15:17.744964	-2.092285
08-Oct-20  17:15:17.745464	2.844238
08-Oct-20  17:15:17.745964	2.585449
08-Oct-20  17:15:17.746464	-2.392578
08-Oct-20  17:15:17.746964	-3.044434
08-Oct-20  17:15:17.747464	1.818848
08-Oct-20  17:15:17.747964	3.354492
08-Oct-20  17:15:17.748464	-1.232910
08-Oct-20  17:15:17.748964	-3.598633
08-Oct-20  17:15:17.749464	0.554199
08-Oct-20  17:15:17.749964	3.679199
08-Oct-20  17:15:17.750464	0.090332
08-Oct-20  17:15:17.750964	-3.681641
08-Oct-20  17:15:17.751464	-0.783691
08-Oct-20  17:15:17.751964	3.520508
08-Oct-20  17:15:17.752464	1.403809
08-Oct-20  17:15:17.752964	-3.286133
08-Oct-20  17:15:17.753464	-2.021484
08-Oct-20  17:15:17.753964	2.897949
08-Oct-20  17:15:17.754464	2.526855
08-Oct-20  17:15:17.754964	-2.456055
08-Oct-20  17:15:17.755464	-3.000488
08-Oct-20  17:15:17.755964	1.892090
08-Oct-20  17:15:17.756464	3.320312
08-Oct-20  17:15:17.756964	-1.311035
08-Oct-20  17:15:17.757464	-3.581543
08-Oct-20  17:15:17.757964	0.637207
08-Oct-20  17:15:17.758464	3.674316
08-Oct-20  17:15:17.758964	0.012207
08-Oct-20  17:15:17.759464	-3.691406
08-Oct-20  17:15:17.759964	-0.705566
08-Oct-20  17:15:17.760464	3.542480
08-Oct-20  17:15:17.760964	1.330566
08-Oct-20  17:15:17.761464	-3.320312
08-Oct-20  17:15:17.761964	-1.955566
08-Oct-20  17:15:17.762464	2.946777
08-Oct-20  17:15:17.762964	2.468262
08-Oct-20  17:15:17.763464	-2.517090
08-Oct-20  17:15:17.763964	-2.951660
08-Oct-20  17:15:17.764464	1.960449
08-Oct-20  17:15:17.764964	3.283691
08-Oct-20  17:15:17.765464	-1.384277
08-Oct-20  17:15:17.765964	-3.557129
08-Oct-20  17:15:17.766464	0.715332
08-Oct-20  17:15:17.766964	3.664551
08-Oct-20  17:15:17.767464	-0.070801
08-Oct-20  17:15:17.767964	-3.703613
08-Oct-20  17:15:17.768464	-0.627441
08-Oct-20  17:15:17.768964	3.566895
08-Oct-20  17:15:17.769464	1.252441
08-Oct-20  17:15:17.769964	-3.359375
08-Oct-20  17:15:17.770464	-1.884766
08-Oct-20  17:15:17.770964	2.993164
08-Oct-20  17:15:17.771464	2.409668
08-Oct-20  17:15:17.771964	-2.580566
08-Oct-20  17:15:17.772464	-2.895508
08-Oct-20  17:15:17.772964	2.028809
08-Oct-20  17:15:17.773464	3.244629
08-Oct-20  17:15:17.773964	-1.459961
08-Oct-20  17:15:17.774464	-3.532715
08-Oct-20  17:15:17.774964	0.793457
08-Oct-20  17:15:17.775464	3.652344
08-Oct-20  17:15:17.775964	-0.153809
08-Oct-20  17:15:17.776464	-3.708496
08-Oct-20  17:15:17.776964	-0.544434
08-Oct-20  17:15:17.777464	3.586426
08-Oct-20  17:15:17.777964	1.174316
08-Oct-20  17:15:17.778464	-3.393555
08-Oct-20  17:15:17.778964	-1.813965
08-Oct-20  17:15:17.779464	3.039551
08-Oct-20  17:15:17.779964	2.346191
08-Oct-20  17:15:17.780464	-2.634277
08-Oct-20  17:15:17.780964	-2.849121
08-Oct-20  17:15:17.781464	2.097168
08-Oct-20  17:15:17.781964	3.203125
08-Oct-20  17:15:17.782464	-1.535645
08-Oct-20  17:15:17.782964	-3.505859
08-Oct-20  17:15:17.783464	0.876465
08-Oct-20  17:15:17.783964	3.645020
08-Oct-20  17:15:17.784464	-0.231934
08-Oct-20  17:15:17.784964	-3.706055
08-Oct-20  17:15:17.785464	-0.466309
08-Oct-20  17:15:17.785964	3.605957
08-Oct-20  17:15:17.786464	1.096191
08-Oct-20  17:15:17.786964	-3.422852
08-Oct-20  17:15:17.787464	-1.745605
08-Oct-20  17:15:17.787964	3.088379
08-Oct-20  17:15:17.788464	2.282715
08-Oct-20  17:15:17.788964	-2.690430
08-Oct-20  17:15:17.789464	-2.795410
08-Oct-20  17:15:17.789964	2.160645
08-Oct-20  17:15:17.790464	3.164062
08-Oct-20  17:15:17.790964	-1.608887
08-Oct-20  17:15:17.791464	-3.481445
08-Oct-20  17:15:17.791964	0.954590
08-Oct-20  17:15:17.792464	3.627930
08-Oct-20  17:15:17.792964	-0.314941
08-Oct-20  17:15:17.793464	-3.713379
08-Oct-20  17:15:17.793964	-0.383301
08-Oct-20  17:15:17.794464	3.620605
08-Oct-20  17:15:17.794964	1.018066
08-Oct-20  17:15:17.795464	-3.452148
08-Oct-20  17:15:17.795964	-1.672363
08-Oct-20  17:15:17.796464	3.132324
08-Oct-20  17:15:17.796964	2.219238
08-Oct-20  17:15:17.797464	-2.746582
08-Oct-20  17:15:17.797964	-2.741699
08-Oct-20  17:15:17.798464	2.229004
08-Oct-20  17:15:17.798964	3.122559
08-Oct-20  17:15:17.799464	-1.682129
08-Oct-20  17:15:17.799964	-3.452148
08-Oct-20  17:15:17.800464	1.032715
08-Oct-20  17:15:17.800964	3.615723
08-Oct-20  17:15:17.801464	-0.393066
08-Oct-20  17:15:17.801964	-3.710937
08-Oct-20  17:15:17.802464	-0.300293
08-Oct-20  17:15:17.802964	3.632812
08-Oct-20  17:15:17.803464	0.939941
08-Oct-20  17:15:17.803964	-3.481445
08-Oct-20  17:15:17.804464	-1.599121
08-Oct-20  17:15:17.804964	3.171387
08-Oct-20  17:15:17.805464	2.150879
08-Oct-20  17:15:17.805964	-2.802734
08-Oct-20  17:15:17.806464	-2.683105
08-Oct-20  17:15:17.806964	2.292480
08-Oct-20  17:15:17.807464	3.078613
08-Oct-20  17:15:17.807964	-1.752930
08-Oct-20  17:15:17.808464	-3.417969
08-Oct-20  17:15:17.808964	1.110840
08-Oct-20  17:15:17.809464	3.601074
08-Oct-20  17:15:17.809964	-0.476074
08-Oct-20  17:15:17.810464	-3.708496
08-Oct-20  17:15:17.810964	-0.222168
08-Oct-20  17:15:17.811464	3.649902
08-Oct-20  17:15:17.811964	0.861816
08-Oct-20  17:15:17.812464	-3.510742
08-Oct-20  17:15:17.812964	-1.525879
08-Oct-20  17:15:17.813464	3.212891
08-Oct-20  17:15:17.813964	2.084961
08-Oct-20  17:15:17.814464	-2.854004
08-Oct-20  17:15:17.814964	-2.629395
08-Oct-20  17:15:17.815464	2.355957
08-Oct-20  17:15:17.815964	3.034668
08-Oct-20  17:15:17.816464	-1.823730
08-Oct-20  17:15:17.816964	-3.388672
08-Oct-20  17:15:17.817464	1.184082
08-Oct-20  17:15:17.817964	3.581543
08-Oct-20  17:15:17.818464	-0.554199
08-Oct-20  17:15:17.818964	-3.708496
08-Oct-20  17:15:17.819464	-0.139160
08-Oct-20  17:15:17.819964	3.657227
08-Oct-20  17:15:17.820464	0.783691
08-Oct-20  17:15:17.820964	-3.535156
08-Oct-20  17:15:17.821464	-1.447754
08-Oct-20  17:15:17.821964	3.254395
08-Oct-20  17:15:17.822464	2.019043
08-Oct-20  17:15:17.822964	-2.907715
08-Oct-20  17:15:17.823464	-2.570801
08-Oct-20  17:15:17.823964	2.416992
08-Oct-20  17:15:17.824464	2.985840
08-Oct-20  17:15:17.824964	-1.894531
08-Oct-20  17:15:17.825464	-3.356934
08-Oct-20  17:15:17.825964	1.262207
08-Oct-20  17:15:17.826464	3.562012
