t0	24-Sep-20  16:23:02.244245
delta t	6.000000E-7

time	Y
24-Sep-20  16:23:02.244245	-0.391602
24-Sep-20  16:23:02.244246	-0.382324
24-Sep-20  16:23:02.244247	-0.381592
24-Sep-20  16:23:02.244247	-0.381592
24-Sep-20  16:23:02.244248	-0.381592
24-Sep-20  16:23:02.244248	-0.382080
24-Sep-20  16:23:02.244249	-0.382080
24-Sep-20  16:23:02.244250	-0.382080
24-Sep-20  16:23:02.244250	-0.381836
24-Sep-20  16:23:02.244251	-0.381592
24-Sep-20  16:23:02.244251	-0.382080
24-Sep-20  16:23:02.244252	-0.382812
24-Sep-20  16:23:02.244253	-0.383057
24-Sep-20  16:23:02.244253	-0.382812
24-Sep-20  16:23:02.244254	-0.382568
24-Sep-20  16:23:02.244254	-0.382568
24-Sep-20  16:23:02.244255	-0.382568
24-Sep-20  16:23:02.244256	-0.382812
24-Sep-20  16:23:02.244256	-0.383789
24-Sep-20  16:23:02.244257	-0.384033
24-Sep-20  16:23:02.244257	-0.383789
24-Sep-20  16:23:02.244258	-0.382812
24-Sep-20  16:23:02.244259	-0.382324
24-Sep-20  16:23:02.244259	-0.382080
24-Sep-20  16:23:02.244260	-0.382324
24-Sep-20  16:23:02.244260	-0.382080
24-Sep-20  16:23:02.244261	-0.381592
24-Sep-20  16:23:02.244262	-0.381348
24-Sep-20  16:23:02.244262	-0.380615
24-Sep-20  16:23:02.244263	-0.381104
24-Sep-20  16:23:02.244263	-0.381348
24-Sep-20  16:23:02.244264	-0.381592
24-Sep-20  16:23:02.244265	-0.381592
24-Sep-20  16:23:02.244265	-0.382080
24-Sep-20  16:23:02.244266	-0.382324
24-Sep-20  16:23:02.244266	-0.382568
24-Sep-20  16:23:02.244267	-0.383057
24-Sep-20  16:23:02.244268	-0.383545
24-Sep-20  16:23:02.244268	-0.383057
24-Sep-20  16:23:02.244269	-0.382812
24-Sep-20  16:23:02.244269	-0.382812
24-Sep-20  16:23:02.244270	-0.382812
24-Sep-20  16:23:02.244271	-0.383057
24-Sep-20  16:23:02.244271	-0.382568
24-Sep-20  16:23:02.244272	-0.382568
24-Sep-20  16:23:02.244272	-0.382080
24-Sep-20  16:23:02.244273	-0.381348
24-Sep-20  16:23:02.244274	-0.381348
24-Sep-20  16:23:02.244274	-0.381836
