t0	24-Sep-20  16:24:58.860736
delta t	6.000000E-7

time	Y
24-Sep-20  16:24:58.860736	0.370117
24-Sep-20  16:24:58.860737	0.357178
24-Sep-20  16:24:58.860737	0.356934
24-Sep-20  16:24:58.860738	0.356445
24-Sep-20  16:24:58.860739	0.356689
24-Sep-20  16:24:58.860739	0.356934
24-Sep-20  16:24:58.860740	0.356201
24-Sep-20  16:24:58.860740	0.356934
24-Sep-20  16:24:58.860741	0.357666
24-Sep-20  16:24:58.860742	0.357910
24-Sep-20  16:24:58.860742	0.358398
24-Sep-20  16:24:58.860743	0.358398
24-Sep-20  16:24:58.860743	0.358398
24-Sep-20  16:24:58.860744	0.358154
24-Sep-20  16:24:58.860745	0.358154
24-Sep-20  16:24:58.860745	0.358398
24-Sep-20  16:24:58.860746	0.358643
24-Sep-20  16:24:58.860746	0.358887
24-Sep-20  16:24:58.860747	0.358643
24-Sep-20  16:24:58.860748	0.357910
24-Sep-20  16:24:58.860748	0.357178
24-Sep-20  16:24:58.860749	0.356934
24-Sep-20  16:24:58.860749	0.356934
24-Sep-20  16:24:58.860750	0.356934
24-Sep-20  16:24:58.860751	0.356689
24-Sep-20  16:24:58.860751	0.356689
24-Sep-20  16:24:58.860752	0.356201
24-Sep-20  16:24:58.860752	0.356201
24-Sep-20  16:24:58.860753	0.356689
24-Sep-20  16:24:58.860754	0.356689
24-Sep-20  16:24:58.860754	0.357422
24-Sep-20  16:24:58.860755	0.357910
24-Sep-20  16:24:58.860755	0.357910
24-Sep-20  16:24:58.860756	0.357910
24-Sep-20  16:24:58.860757	0.358398
24-Sep-20  16:24:58.860757	0.358643
24-Sep-20  16:24:58.860758	0.358643
24-Sep-20  16:24:58.860758	0.358887
24-Sep-20  16:24:58.860759	0.358643
24-Sep-20  16:24:58.860760	0.358643
24-Sep-20  16:24:58.860760	0.359131
24-Sep-20  16:24:58.860761	0.358643
24-Sep-20  16:24:58.860761	0.357910
24-Sep-20  16:24:58.860762	0.357910
24-Sep-20  16:24:58.860763	0.356934
24-Sep-20  16:24:58.860763	0.356689
24-Sep-20  16:24:58.860764	0.354736
24-Sep-20  16:24:58.860764	0.350586
24-Sep-20  16:24:58.860765	0.345947
24-Sep-20  16:24:58.860766	0.341553
24-Sep-20  16:24:58.860766	0.336670
