t0	24-Sep-20  16:19:33.393727
delta t	6.000000E-7

time	Y
24-Sep-20  16:19:33.393727	0.332764
24-Sep-20  16:19:33.393728	0.316162
24-Sep-20  16:19:33.393729	0.310547
24-Sep-20  16:19:33.393729	0.305664
24-Sep-20  16:19:33.393730	0.301270
24-Sep-20  16:19:33.393730	0.296875
24-Sep-20  16:19:33.393731	0.292236
24-Sep-20  16:19:33.393732	0.287598
24-Sep-20  16:19:33.393732	0.282715
24-Sep-20  16:19:33.393733	0.278564
24-Sep-20  16:19:33.393733	0.274658
24-Sep-20  16:19:33.393734	0.270752
24-Sep-20  16:19:33.393735	0.266602
24-Sep-20  16:19:33.393735	0.261963
24-Sep-20  16:19:33.393736	0.257324
24-Sep-20  16:19:33.393736	0.252930
24-Sep-20  16:19:33.393737	0.249023
24-Sep-20  16:19:33.393738	0.244629
24-Sep-20  16:19:33.393738	0.240234
24-Sep-20  16:19:33.393739	0.235596
24-Sep-20  16:19:33.393739	0.230957
24-Sep-20  16:19:33.393740	0.226318
24-Sep-20  16:19:33.393741	0.221436
24-Sep-20  16:19:33.393741	0.216553
24-Sep-20  16:19:33.393742	0.211670
24-Sep-20  16:19:33.393742	0.206787
24-Sep-20  16:19:33.393743	0.201660
24-Sep-20  16:19:33.393744	0.197266
24-Sep-20  16:19:33.393744	0.192871
24-Sep-20  16:19:33.393745	0.188232
24-Sep-20  16:19:33.393745	0.183838
24-Sep-20  16:19:33.393746	0.178955
24-Sep-20  16:19:33.393747	0.174561
24-Sep-20  16:19:33.393747	0.170654
24-Sep-20  16:19:33.393748	0.166748
24-Sep-20  16:19:33.393748	0.162598
24-Sep-20  16:19:33.393749	0.158203
24-Sep-20  16:19:33.393750	0.153564
24-Sep-20  16:19:33.393750	0.149170
24-Sep-20  16:19:33.393751	0.144531
24-Sep-20  16:19:33.393751	0.140137
24-Sep-20  16:19:33.393752	0.135742
24-Sep-20  16:19:33.393753	0.131104
24-Sep-20  16:19:33.393753	0.126709
24-Sep-20  16:19:33.393754	0.122070
24-Sep-20  16:19:33.393754	0.116699
24-Sep-20  16:19:33.393755	0.111816
24-Sep-20  16:19:33.393756	0.107178
24-Sep-20  16:19:33.393756	0.102539
24-Sep-20  16:19:33.393757	0.097900
24-Sep-20  16:19:33.393757	0.093506
