100.00000	0.57723	-3.71793
111.41937	0.57449	-4.03178
124.14275	0.57390	-3.81907
138.31907	0.57354	-3.49796
154.11423	0.57297	-3.58016
171.71309	0.57274	-3.72749
191.32164	0.57265	-3.74389
213.16936	0.57253	-3.88096
237.51195	0.57218	-4.09766
264.63430	0.57168	-4.38333
294.85386	0.57047	-4.63238
328.52430	0.57059	-4.94477
366.03970	0.56976	-5.31799
407.83911	0.56999	-5.81770
454.41175	0.56911	-6.36885
506.30269	0.56765	-6.97022
564.11924	0.56714	-7.67636
628.53808	0.56615	-8.45559
700.31314	0.56383	-9.30779
780.28446	0.56194	-10.26524
869.38800	0.55948	-11.33840
968.66660	0.55663	-12.53946
1079.28218	0.55307	-13.86236
1202.52936	0.54879	-15.29740
1339.85059	0.54362	-16.90365
1492.85303	0.53723	-18.63985
1663.32737	0.52995	-20.53549
1853.26881	0.52068	-22.55231
2064.90035	0.51038	-24.72892
2300.69888	0.49832	-27.07960
2563.42410	0.48393	-29.45112
2856.15087	0.46798	-32.01630
3182.30519	0.45035	-34.56623
3545.70426	0.43093	-37.25651
3950.60120	0.41016	-39.82316
4401.73480	0.38798	-42.44268
4904.38500	0.36514	-44.98190
5464.43467	0.34172	-47.41905
6088.43845	0.31806	-49.69242
6783.69951	0.29460	-51.71927
7558.35497	0.27170	-53.54055
8421.47117	0.24948	-55.13475
9383.14977	0.22820	-56.47313
10454.64596	0.20809	-57.55643
11648.50023	0.18921	-58.37462
12978.68508	0.17174	-58.85119
14460.76860	0.15549	-58.86651
16112.09666	0.14064	-58.54429
17951.99592	0.12691	-58.16156
20002.00000	0.11447	-56.97338

